TITLE,LOCATION,SECTION,RUNNINGCOUNT,TEXT
CIRCA/2,599,2,599,circa
CVSTOS,600,2,600,custos
DONO,601,2,601,dono
ERRO/2,602,2,602,erro
FIDELIS/2,603,2,603,fidelis
FORIS/1,604,2,604,foris
FVTVRVS,605,2,605,futurus
INTELLIGO,606,2,606,intellego
IVGVM,607,2,607,iugum
EGO,608,2,608,mecum
NARRO,609,2,609,narro
RVRSVS,610,2,610,rursus
TERGVM,611,2,611,tergum
VOLVCER,612,2,612,volucer
CIBVS,613,2,613,cibus
CLAVDO/1,614,2,614,claudo
CRIMEN,615,2,615,crimen
IDEO,616,2,616,ideo
PARIO/2,617,2,617,pario
PONDVS,618,2,618,pondus
PROSVM/1,619,2,619,prosum
SAXVM,620,2,620,saxum
SCILICET,621,2,621,scilicet
SERVIO,622,2,622,servio
SONO/1,623,2,623,sono
TIMOR,624,2,624,timor
ACER/2,625,2,625,acer
AES,626,2,626,aes
ANTIQVVS,627,2,627,antiquus
COGITO,628,2,628,cogito
CVRO,629,2,629,curo
FALLO,630,2,630,fallo
INDICO/1,631,2,631,"indico, -are"
INTRO/1,632,2,632,intro
LVNA,633,2,633,luna
PORTO,634,2,634,porto
RECTVS,635,2,635,rectus
STELLA,636,2,636,stella
AGMEN,637,2,637,agmen
COMEDO/2,638,2,638,comedo
COMMVNIS,639,2,639,communis
EFFICIO,640,2,640,efficio
HYMENAEVS,641,2,641,hymenaeos
METVO,642,2,642,metuo
MONASTERIVM,643,2,643,monasterium
NEMVS,644,2,644,nemus
PONTVS,645,2,645,pontus
REVERTO,646,2,646,reverto
RIDEO,647,2,647,rideo
VEHO,648,2,648,veho
CRESCO,649,2,649,cresco
DEFERO,650,2,650,defero
DENIQVE,651,2,651,denique
DIVITIAE,652,2,652,divitiae
DONVM,653,2,653,donum
EXEMPLVM,654,2,654,exemplum
FVGA,655,2,655,fuga
MINISTER/2,656,2,656,minister
MIRVS,657,2,657,mirus
MONEO,658,2,658,moneo
NASCOR,659,2,659,nascor
PERGO,660,2,660,pergo
PRAEBEO,661,2,661,praebeo
PVGNO,662,2,662,pugno
VER,663,2,663,ver
ASPICIO,664,2,664,aspicio
DILIGENS,665,2,665,diligens
DOMINA,666,2,666,domina
DONEC,667,2,667,donec
MVLTITVDO,668,2,668,multitudo
POETA,669,2,669,poeta
PREX,670,2,670,prex
SAPIENS/2,671,2,671,sapiens
VINCVLVM,672,2,672,vinculum
ACCIDO/1,673,2,673,accido
AEQVOR,674,2,674,aequor
AEQVVS,675,2,675,aequus
ALIENVS/2,676,2,676,alienus
ASTRVM,677,2,677,astrum
CANIS,678,2,678,canis
CELER,679,2,679,celer
CINIS,680,2,680,cinis
COLLIGO/3,681,2,681,colligo
COMMITTO,682,2,682,committo
DEA,683,2,683,dea
SVM/1,684,2,684,"forem, -es"
GIGNO,685,2,685,gigno
PRAETER/2,686,2,686,praeter
PRECOR,687,2,687,precor
RECEDO/1,688,2,688,recedo
RETINEO,689,2,689,retineo
RIPA,690,2,690,ripa
SVI/1,691,2,691,sese
ADDO,692,2,692,addo
DIVIDO,693,2,693,divido
HYMEN/N,694,2,694,Hymen
MEMORIA,695,2,695,memoria
PECCO,696,2,696,pecco
SENSVS,697,2,697,sensus
TELVM,698,2,698,telum
VICIS,699,2,699,vicis
VICTOR,700,2,700,victor
AVXILIVM,701,2,701,auxilium
CAEDES,702,2,702,caedes
CELEBRO,703,2,703,celebro
COMPONO,704,2,704,compono
CORAM/1,705,2,705,coram
EXCIPIO,706,2,706,excipio
FEMINA,707,2,707,femina
GLADIVS,708,2,708,gladius
HEV,710,2,710,heu
HOSPES,711,2,711,hospes
IMPLEO,712,2,712,impleo
INVIDEO,713,2,713,invideo
MANE/1,714,2,714,mane
MORA,715,2,715,mora
ORATIO,716,2,716,oratio
PARITER,717,2,717,pariter
PENDO,718,2,718,pendo
PLACIDVS,719,2,719,placidus
QVAMQVAM/2,720,2,720,quamquam
QVARE/1,721,2,721,quare
REGNO,722,2,722,regno
VAGVS,723,2,723,vagus
AFFERO,724,2,724,affero
APPAREO,725,2,725,appareo
CHORVS,726,2,726,chorus
COLOR,727,2,727,color
FERRVM,728,2,728,ferrum
HVMVS,729,2,729,humus
INFERO,730,2,730,infero
MALO,731,2,731,malo
NOCEO,732,2,732,noceo
PECVNIA,733,2,733,pecunia
PIETAS,734,2,734,pietas
PROMITTO,735,2,735,promitto
PVGNA,736,2,736,pugna
RVMPO,737,2,737,rumpo
RVS,738,2,738,rus
SAPIENTIA,739,2,739,sapientia
SCIENTIA,740,2,740,scientia
SVPRA/2,741,2,741,supra
SVSCIPIO,742,2,742,suscipio
TARDVS,743,2,743,tardus
VITIVM,744,2,744,vitium
CONTEMNO,745,2,745,contemno
CONVERTO,746,2,746,converto
EGREDIOR,747,2,747,egredior
HERBA,748,2,748,herba
ILLIC/2,749,2,749,illic
INTERFICIO,750,2,750,interficio
IRASCOR,751,2,751,irascor
LEO,752,2,752,leo
MENSA,753,2,753,mensa
PAVLO,754,2,754,paulus
RARVS,755,2,755,rarus
SPATIVM,756,2,756,spatium
SPERO,757,2,757,spero
TV,758,2,758,tecum
TORVS,759,2,759,torus
VTILIS,760,2,760,utilis
VACO,761,2,761,vaco
VICINVS/2,762,2,762,vicinus
VOLVPTAS,763,2,763,voluptas
ARDEO,764,2,764,ardeo
CAELESTIS,765,2,765,caelestis
EPISCOPVS,766,2,766,episcopus
EXSPECTO,767,2,767,exspecto
FVNDO/2,768,2,768,"fundo, -ere"
IMAGO,769,2,769,imago
PRODO,770,2,770,prodo
SVPERO,771,2,771,supero
SVSTINEO,772,2,772,sustineo
TEMPTO,773,2,773,tempto
VIGILO,774,2,774,vigilo
ARX,775,2,775,arx
CAREO,776,2,776,careo
DESVM/1,777,2,777,desum
DISCEDO/1,778,2,778,discedo
ERIPIO,779,2,779,eripio
FALSVS,780,2,780,falsus
FESSVS,781,2,781,fessus
FLVO,782,2,782,fluo
IMPONO,783,2,783,impono
INSTITVO,784,2,784,instituo
MANDO/2,785,2,785,"mando, -are"
NVNTIVS/1,786,2,786,nuntius
OB,787,2,787,ob
POMPEIVS/N,788,2,788,Pompeius
REGIVS,789,2,789,regius
SCELVS,790,2,790,scelus
TACEO,791,2,791,taceo
TENEBRAE,792,2,792,tenebrae
VOLO/2,793,2,793,"volo, -are"
APPELLO/1,794,2,794,"appello, -are"
ASCENDO,795,2,795,ascendo
CONFICIO,796,2,796,conficio
CONSVLO,797,2,797,consulo
CVPIDO,798,2,798,cupido
FESTVS,799,2,799,festus
HISTORIA,800,2,800,historia
IVDEX,801,2,801,iudex
IVRO,802,2,802,iuro
MEMORO,803,2,803,memoro
OTIVM,804,2,804,otium
PARVM/2,805,2,805,parum
POTENS,806,2,806,potens
QVIESCO,807,2,807,quiesco
SEMEL,808,2,808,semel
STVDEO,809,2,809,studeo
SVPERBVS/2,810,2,810,superbus
SVPERSVM/1,811,2,811,supersum
VNDIQVE,812,2,812,undique
ALBVS,813,2,813,albus
AMITTO,814,2,814,amitto
ANGELVS,815,2,815,angelus
COMPARO/2,816,2,816,comparo
DAMNVM,817,2,817,damnum
DECET,818,2,818,decet
DEFENDO,819,2,819,defendo
DESCENDO,820,2,820,descendo
EVADO/2,821,2,821,evado
SVM/1,822,2,822,fore
INTEGER,823,2,823,integer
INTERROGO,824,2,824,interrogo
INTRA/2,825,2,825,intra
LAPIS,826,2,826,lapis
LIMEN,827,2,827,limen
MAESTVS,828,2,828,maestus
MEMINI,829,2,829,memini
PLERVSQVE,830,2,830,plerusque
REGIO,831,2,831,regio
SPARGO/2,832,2,832,spargo
STERNO,833,2,833,sterno
VLTRA/2,834,2,834,ultra
ARMO,835,2,835,armo
CESSO,837,2,837,cesso
CONFITEOR,838,2,838,confiteor
DEDVCO,839,2,839,deduco
DIGNITAS,840,2,840,dignitas
FRVCTVS,841,2,841,fructus
IGNOTVS,842,2,842,ignotus
IMBER,843,2,843,imber
LIBENS,844,2,844,libens
LVDO,845,2,845,ludo
ORNO,846,2,846,orno
ORO,847,2,847,oro
PHILOSOPHVS/2,848,2,848,philosophus
PRAESENS,849,2,849,praesens
PROCEDO/1,850,2,850,procedo
REVOCO,851,2,851,revoco
SORS,852,2,852,sors
THESAVRVS,853,2,853,thesaurus
TRIVMPHVS,854,2,854,triumphus
VACVVS,855,2,855,vacuus
ALIQVANDO,856,2,856,aliquando
CAVEO,857,2,857,caveo
CVLPA,858,2,858,culpa
CVRRO,859,2,859,curro
CVSTODIA,860,2,860,custodia
DECIPIO,861,2,861,decipio
DVBIVS,862,2,862,dubius
FAMES,863,2,863,fames
IMMENSVS,865,2,865,immensus
